Date,oc,pos,turnover,gross,net
2014-08-26 20:00:00-04:00,-0.0009488606560287272,0.36475718025724363,0.005018068168851253,-0.0003461037373500769,-0.0003521254191526984
2014-08-27 20:00:00-04:00,0.0075222977677160685,0.390449937991721,0.02569275773447738,0.0029370806969600005,0.0029062493876786276
2014-08-28 20:00:00-04:00,0.0037215657237748,0.4318280390545609,0.0413781010628399,0.0016070764287103396,0.0015574227074349317
2014-09-01 20:00:00-04:00,0.03128858291924663,0.4784918859872728,0.046663846932711917,0.014971333050899491,0.014915336434580238
2014-09-02 20:00:00-04:00,-0.02252577004304912,0.4424729408652303,0.03601894512204251,-0.00996704371620185,-0.0100102664503483
2014-09-03 20:00:00-04:00,0.007147570900754241,0.40765858362498053,0.03481435724024978,0.0029137686297606,0.0028719914010723003
2014-09-04 20:00:00-04:00,-0.018262247720142843,0.5035354624599613,0.09587687883498075,-0.0091956893513205,-0.009310741605922478
2014-09-07 20:00:00-04:00,0.016173199792817394,0.4811922912904172,0.022343171169544096,0.007782419065803502,0.007755607260400049
2014-09-08 20:00:00-04:00,-0.015936967109305145,0.4752236578056269,0.0059686334847902645,-0.007573623804011959,-0.007580786164193707
2014-09-09 20:00:00-04:00,0.005724502629838035,0.4709527458262877,0.004270911979339209,0.002695970232012028,0.0026908451376368206
2014-09-10 20:00:00-04:00,-0.0005348478958075997,0.4724269518496393,0.0014742060233515764,-0.0002526765611195778,-0.0002544456083475997
2014-09-11 20:00:00-04:00,-0.004634652994139454,0.4752300564769663,0.0028031046273270244,-0.002202526404156034,-0.0022058901297088264
2014-09-14 20:00:00-04:00,-0.07475302729134714,0.47497623031378167,0.000253826163184645,-0.03550591110738731,-0.03550621569878313
2014-09-15 20:00:00-04:00,0.02190871884818124,0.0,0.47497623031378167,0.0,-0.000569971476376538
2014-09-16 20:00:00-04:00,-0.003925143487266691,0.0,0.0,-0.0,-0.0
2014-09-17 20:00:00-04:00,0.0017466406390631573,0.0,0.0,0.0,0.0
2014-09-18 20:00:00-04:00,0.005155253108322544,0.0,0.0,0.0,0.0
2014-09-21 20:00:00-04:00,-0.019490185905905344,0.0,0.0,-0.0,-0.0
2014-09-22 20:00:00-04:00,0.021164710082533622,0.0,0.0,0.0,0.0
2014-09-23 20:00:00-04:00,0.0040618505960843265,0.0,0.0,0.0,0.0
2014-09-24 20:00:00-04:00,-0.022057702203912122,0.0,0.0,-0.0,-0.0
2014-09-25 20:00:00-04:00,-0.00664644761775024,0.0,0.0,-0.0,-0.0
2014-09-28 20:00:00-04:00,0.005164029249035362,0.0,0.0,0.0,0.0
2014-09-29 20:00:00-04:00,-0.017171468698319092,0.0,0.0,-0.0,-0.0
2014-09-30 20:00:00-04:00,-0.008092489236317224,0.0,0.0,-0.0,-0.0
2014-10-01 20:00:00-04:00,0.00487608866380862,0.0,0.0,0.0,0.0
2014-10-02 20:00:00-04:00,0.008496014963333298,0.0,0.0,0.0,0.0
2014-10-05 20:00:00-04:00,0.0057499792983521925,0.0,0.0,0.0,0.0
2014-10-06 20:00:00-04:00,0.004022784602244478,0.0,0.0,0.0,0.0
2014-10-07 20:00:00-04:00,-0.0031526250682806234,0.0,0.0,-0.0,-0.0
2014-10-08 20:00:00-04:00,-0.019980903967597885,0.0,0.0,-0.0,-0.0
2014-10-09 20:00:00-04:00,-0.03159749721312233,0.0,0.0,-0.0,-0.0
2014-10-12 20:00:00-04:00,-0.05859916249991304,0.0,0.0,-0.0,-0.0
2014-10-13 20:00:00-04:00,-0.005213642259457196,0.0,0.0,-0.0,-0.0
2014-10-14 20:00:00-04:00,0.0440908335752741,0.0,0.0,0.0,0.0
2014-10-15 20:00:00-04:00,0.030174794936906002,0.0,0.0,0.0,0.0
2014-10-16 20:00:00-04:00,-0.025280725148786876,0.0,0.0,-0.0,-0.0
2014-10-19 20:00:00-04:00,0.016540225531436636,0.0,0.0,0.0,0.0
2014-10-20 20:00:00-04:00,0.0045673537827615185,0.0,0.0,0.0,0.0
2014-10-21 20:00:00-04:00,-0.008962612603935827,0.0,0.0,-0.0,-0.0
2014-10-22 20:00:00-04:00,0.0026847236481175596,0.0,0.0,0.0,0.0
2014-10-23 20:00:00-04:00,-0.004359406095854612,0.0,0.0,-0.0,-0.0
2014-10-26 20:00:00-04:00,-0.053703323952923654,0.0,0.0,-0.0,-0.0
2014-10-27 20:00:00-04:00,0.057360641646673205,0.0,0.0,0.0,0.0
2014-10-28 20:00:00-04:00,-0.012565815514379075,0.0,0.0,-0.0,-0.0
2014-10-29 20:00:00-04:00,0.002183611375202954,0.0,0.0,0.0,0.0
2014-10-30 20:00:00-04:00,-0.0033401212481001252,0.0,0.0,-0.0,-0.0
2014-11-02 19:00:00-05:00,-0.0016872970351562433,0.0,0.0,-0.0,-0.0
2014-11-03 19:00:00-05:00,-0.006486761716851697,0.0,0.0,-0.0,-0.0
2014-11-04 19:00:00-05:00,-0.0416183250765324,0.0,0.0,-0.0,-0.0
2014-11-05 19:00:00-05:00,0.02870057837222073,0.0,0.0,0.0,0.0
2014-11-06 19:00:00-05:00,-0.008216743605609533,0.0,0.0,-0.0,-0.0
2014-11-09 19:00:00-05:00,0.011793777338092948,0.0,0.0,0.0,0.0
2014-11-10 19:00:00-05:00,0.03516799353412359,0.0,0.0,0.0,0.0
2014-11-11 19:00:00-05:00,-0.002482829795836472,0.2315533996790691,0.2315533996790691,-0.0005749076800504241,-0.000852771759665307
